name,lat,lon,difficulty,national_park
Harding Ice Field Trail,60.18852,-149.6315,5,Kenai Fjords National Park
Mount Healy Overlook Trail,63.73049,-148.9196,3,Denali National Park
Exit Glacier Trail,60.18879,-149.63,1,Kenai Fjords National Park
Horseshoe Lake Trail,63.73661,-148.91,1,Denali National Park
Triple Lakes Trail,63.73319,-148.8968,5,Denali National Park
Bison Gulch,63.80507,-148.9533,5,Denali National Park
Rock Creek Trail,63.73056,-148.9195,3,Denali National Park
Taiga Trail,63.73043,-148.9192,3,Denali National Park
McKinley Station Trail,63.73324,-148.8965,1,Denali National Park
Mount Thorofare Ridge Loop,63.43108,-150.3109,5,Denali National Park
McKinley Bar Trail,63.45799,-150.8,1,Denali National Park
Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,63.73128,-148.917,3,Denali National Park
Blueberry Hill Trail,63.49541,-150.8813,3,Denali National Park
Stampede Trail to Sushana River,63.88374,-149.2676,5,Denali National Park
Bartlett Cove Forest Loop Trail,58.45462,-135.8831,1,Glacier Bay National Park
Camp Ridge Trail,63.52451,-150.9607,5,Denali National Park
Jonesville Trail,63.73334,-148.8961,1,Denali National Park
Roadside Trail,63.73034,-148.9194,1,Denali National Park
Quigley Ridge Trail,63.52444,-150.9601,3,Denali National Park
Bison Gulch to Denali Visitors Center,63.80495,-148.9541,5,Denali National Park
Brooks Falls,58.55986,-155.7775,1,Katmai National Park
Bartlett River Trail,58.4543,-135.869,1,Glacier Bay National Park
McKinley Station and Morino Loop Trail,63.7315,-148.9178,3,Denali National Park
Dumpling Mountain,58.55626,-155.7783,3,Katmai National Park
Spruce Tree Trail,63.73136,-148.9176,1,Denali National Park
Bartlet Lake Trail,58.46205,-135.7732,1,Glacier Bay National Park
Eldorado Creek Trail,63.52668,-150.9689,3,Denali National Park
Tlingit Trail,58.45442,-135.8856,1,Glacier Bay National Park
Point Gustavus,58.45379,-135.8868,3,Glacier Bay National Park
Bright Angel Trail to Bright Angel Campground and River Trail,36.05735,-112.1438,5,Grand Canyon National Park
South Kaibab Trail to Cedar Ridge,36.05346,-112.0836,3,Grand Canyon National Park
Three-Mile Resthouse via Bright Angel Trail,36.05701,-112.1441,5,Grand Canyon National Park
"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",36.05344,-112.0836,5,Grand Canyon National Park
South Kaibab Trail to Ooh Aah Point,36.05309,-112.0838,3,Grand Canyon National Park
Grand Canyon Rim Trail,36.05723,-112.1437,1,Grand Canyon National Park
Rim-to-Rim: North Kaibab to Grand Canyon Village,36.21692,-112.0567,5,Grand Canyon National Park
Shoshone Point Trail,36.03496,-112.0692,1,Grand Canyon National Park
Plateau Point Trail via Bright Angel Trail,36.05681,-112.142,5,Grand Canyon National Park
South Kaibab Trail to Skeleton Point,36.05356,-112.0833,5,Grand Canyon National Park
Grand Canyon West Rim Trail,36.05264,-112.0836,1,Grand Canyon National Park
Bridal Wreath Falls Trail,32.23512,-110.6868,3,Saguaro National Park
1.5 Mile Resthouse via Bright Angel Trail,36.05706,-112.1442,3,Grand Canyon National Park
